Product,Sales,Category,GrowthTrend
Product_1,860,Side,0.46953254153502
Product_2,3772,Side,-0.326360687374588
Product_3,3092,Main,-0.27698735858812196
Product_4,466,Side,0.02563102800036965
Product_5,4426,Side,-0.4087494307177547
Product_6,3444,Side,-0.06355160117688718
Product_7,3171,Drink,0.08179126477771015
Product_8,2919,Side,0.022073571137333103
Product_9,130,Dessert,-0.16909141692197394
Product_10,1685,Side,0.04244580607720683
Product_11,769,Main,0.4588009542588478
Product_12,2391,Side,-0.29398259570862395
Product_13,2433,Side,0.15483135839400364
Product_14,1184,Drink,-0.45660330584394815
Product_15,4555,Dessert,-0.43358359551856507
Product_16,3385,Side,0.05182822422358502
Product_17,4117,Dessert,-0.39506081967205053
Product_18,4843,Main,-0.47765321157314267
Product_19,2904,Drink,-0.3284870023519778
Product_20,474,Dessert,0.06484917099957443
Product_21,1082,Drink,0.20334095451893242
Product_22,2558,Side,-0.29752143585862
Product_23,2047,Main,0.1682594372081745
Product_24,2747,Drink,-0.31752366890077066
Product_25,975,Side,0.11345742663125713
Product_26,1806,Dessert,-0.08804032010420115
Product_27,189,Main,0.15379950933361675
Product_28,2734,Main,0.4950527524792473
Product_29,3005,Dessert,0.43781696523256197
Product_30,4658,Dessert,-0.49571824216389637
Product_31,1899,Main,0.38543876436230573
Product_32,1267,Drink,-0.4335092048252335
Product_33,1528,Main,0.45304658615984494
Product_34,3202,Dessert,-0.2181743209003153
Product_35,3556,Drink,-0.11796516958872905
Product_36,3890,Side,-0.40836179482427215
Product_37,646,Main,-0.3877272416710904
Product_38,2888,Dessert,0.22674056522931962
Product_39,2435,Side,0.4443322357482916
Product_40,600,Main,0.1107484949543095
Product_41,2363,Main,0.21585001552681105
Product_42,2061,Drink,0.2619697445971535
Product_43,241,Dessert,-0.2371857254470583
Product_44,2041,Side,-0.4547703690797851
Product_45,2824,Main,-0.4981272560808314
Product_46,2612,Drink,-0.14935071704598135
Product_47,1363,Side,-0.2585357718007839
Product_48,1478,Side,-0.43768227495081435
Product_49,2556,Main,-0.32047170750633325
Product_50,775,Side,-0.3755011017320522
Product_51,4014,Main,0.41487838061737037
Product_52,34,Drink,-0.3597327865408311
Product_53,3152,Drink,0.03764846398767918
Product_54,1955,Side,0.09310595511216457
Product_55,1585,Main,0.04348945770863377
Product_56,3943,Dessert,-0.400943565784012
Product_57,3073,Drink,-0.1812016382494488
Product_58,1021,Main,-0.44872966753684673
Product_59,3461,Main,-0.10433008590368398
Product_60,2613,Main,-0.311401068728408
Product_61,3843,Side,0.06163253328437979
Product_62,1500,Dessert,0.19280839384910053
Product_63,4798,Side,0.032119860204706474
Product_64,161,Drink,-0.06576330338860426
Product_65,4297,Side,-0.11266657914330758
Product_66,1981,Main,0.34169176809700375
Product_67,995,Side,-0.28063193493472993
Product_68,4911,Main,0.23421833952886884
Product_69,3342,Dessert,0.257482324740119
Product_70,4551,Side,-0.08079999272926552
Product_71,3798,Side,-0.20269940077436066
Product_72,1275,Side,-0.029458513954024768
Product_73,1016,Main,-0.4067860741073015
Product_74,337,Main,-0.45406996777091
Product_75,878,Side,-0.3883968005481082
Product_76,1076,Side,-0.31285496853777384
Product_77,4887,Dessert,0.004176820338043008
Product_78,3993,Dessert,0.3491366361611221
Product_79,4859,Drink,-0.264357668000313
Product_80,379,Dessert,0.43516201074677807
Product_81,492,Dessert,0.45490790893500344
Product_82,2062,Dessert,0.45890460484520523
Product_83,3884,Main,0.3375627346763238
Product_84,64,Dessert,-0.1361749592022794
Product_85,2568,Dessert,-0.42731608899737694
Product_86,2027,Side,0.06881873176649489
Product_87,2695,Main,0.058681443937233735
Product_88,1495,Drink,0.34997576710959555
Product_89,391,Drink,0.4959910509461052
Product_90,4514,Dessert,0.00815730656014757
Product_91,4474,Drink,-0.15479596896021575
Product_92,3561,Drink,-0.314098288443733
Product_93,2278,Drink,-0.49520017518262927
Product_94,3099,Dessert,0.009113692488879166
Product_95,200,Drink,0.055518666702595754
Product_96,4875,Dessert,0.32493847981739743
Product_97,3104,Side,0.004576967892800599
Product_98,4598,Side,0.41646834866605653
Product_99,2454,Drink,0.12808347657143548
Product_100,3645,Side,0.34033623822108316
Product_101,804,Dessert,-0.3516982651922529
Product_102,2731,Side,0.3553361303023147
Product_103,2773,Drink,0.1751438544438484
Product_104,1570,Dessert,-0.32976696756166946
Product_105,2690,Main,-0.31023644185398913
Product_106,3840,Dessert,0.4265006190442213
Product_107,1028,Side,-0.4677846395496271
Product_108,502,Main,-0.0374650567042939
Product_109,4493,Dessert,-0.18652471006589844
Product_110,870,Main,0.16507743999842805
Product_111,4488,Main,0.33962938756899197
Product_112,206,Main,-0.13962187844343044
Product_113,1484,Dessert,-0.07309791267716281
Product_114,863,Side,0.4819177845014142
Product_115,2790,Dessert,0.2839165096792028
Product_116,563,Side,0.3972041309317914
Product_117,4191,Dessert,-0.06123777934837027
Product_118,1757,Dessert,-0.2659237960158848
Product_119,1678,Dessert,-0.08813653461354831
Product_120,3242,Side,0.2160919178315135
Product_121,4636,Dessert,-0.3905695951640207
Product_122,1059,Main,-0.22953089438349117
Product_123,1722,Dessert,-0.4533640995384096
Product_124,3314,Main,-0.06765226166186844
Product_125,3157,Drink,0.32744573597961324
Product_126,2625,Drink,-0.4753363117019892
Product_127,2729,Side,0.175323526807166
Product_128,1597,Side,0.4324958745137396
Product_129,3060,Drink,-0.2630721384888177
Product_130,2693,Dessert,0.19363484072764814
Product_131,4891,Dessert,0.47510190110020034
Product_132,3627,Dessert,0.4622780601524632
Product_133,1363,Drink,-0.2650708069708567
Product_134,1981,Main,-0.3996689467879313
Product_135,1663,Side,-0.35171746210408406
Product_136,1529,Main,0.20203566848214216
Product_137,2038,Drink,0.22575887545327555
Product_138,3302,Main,0.174236561628199
Product_139,2237,Dessert,-0.16392161225776192
Product_140,1306,Dessert,-0.33022306024187786
Product_141,4029,Main,0.08076109195225312
Product_142,2675,Drink,-0.016319554242133494
Product_143,1282,Main,0.22883414712230343
Product_144,709,Dessert,-0.05863992131437856
Product_145,4744,Dessert,-0.16136030531353163
Product_146,4413,Drink,-0.2065214226409856
Product_147,3748,Main,-0.28852967995025347
Product_148,4779,Dessert,-0.23425362381333859
Product_149,663,Dessert,-0.40516956115589864
Product_150,1998,Main,-0.15314298907111046
Product_151,3445,Main,-0.4634301876370418
Product_152,3743,Side,-0.3135861528336732
Product_153,1495,Drink,0.2467704446194291
Product_154,3304,Drink,-0.17453101132337734
Product_155,3763,Main,0.16823701697734383
Product_156,1853,Drink,0.21688417559727735
Product_157,4659,Dessert,0.08118534273211353
Product_158,1291,Main,0.4586977413653984
Product_159,3581,Main,-0.47856013337688674
Product_160,3457,Main,0.2386526505881421
Product_161,1636,Side,0.458786643940408
Product_162,3696,Drink,0.3622717293529393
Product_163,2999,Side,-0.3321073081949867
Product_164,3152,Dessert,-0.17317969374826792
Product_165,698,Drink,-0.3275481601235346
Product_166,2160,Side,0.1013083638147041
Product_167,4097,Main,0.2121879819794923
Product_168,4737,Side,-0.1829262306369418
Product_169,854,Main,0.03950657398429547
Product_170,3474,Side,0.190920570071195
Product_171,1707,Side,-0.07866018338895164
